city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Aguadilla,Aguadilla,PR,Puerto Rico,72005,Aguadilla,18.4382,-67.1537,228854,1751.5,shape,FALSE,FALSE,America/Puerto_Rico,2,00603 00605,1630035605
Akron,Akron,OH,Ohio,39153,Summit,41.0798,-81.5219,541945,1186.2,shape,FALSE,TRUE,America/New_York,2,44306 44307 44304 44305 44302 44303 44301 44308 44325 44320 44311 44310 44313 44312 44319 44314 44309 44315 44316 44317 44326 44328 44334 44396 44398,1840000791
Albany,Albany,NY,New York,36001,Albany,42.6664,-73.7987,590694,1798.3,shape,FALSE,TRUE,America/New_York,2,12208 12209 12204 12206 12207 12202 12203 12205 12210 12226 12222 12201 12223 12228 12229 12230 12231 12232 12233 12234 12235 12236 12237 12238 12239 12240 12241 12242 12243 12244 12245 12246 12248 12250 12255 12257 12260 12261,1840000417
Albuquerque,Albuquerque,NM,New Mexico,35001,Bernalillo,35.1054,-106.6465,769986,1159.8,shape,FALSE,TRUE,America/Denver,2,87123 87112 87113 87110 87111 87114 87109 87108 87101 87102 87105 87104 87107 87106 87120 87119 87125 87131 87153 87154 87158 87181 87184 87187 87190 87191 87192 87194 87196 87197 87198 87199,1840019176
Allentown,Allentown,PA,Pennsylvania,42077,Lehigh,40.5961,-75.4756,627863,2754.2,shape,FALSE,TRUE,America/New_York,2,18104 18101 18103 18102 18109 18001 18105,1840001044
Amarillo,Amarillo,TX,Texas,48375,Potter,35.1984,-101.8316,205903,750.2,shape,FALSE,TRUE,America/Chicago,2,79121 79109 79101 79102 79103 79104 79106 79107 79118 79111 79110 79114 79116 79117 79120 79166 79168 79172 79174 79178 79189,1840019156
Anaheim,Anaheim,CA,California,6059,Orange,33.839,-117.8574,347111,2665.3,shape,FALSE,TRUE,America/Los_Angeles,2,92808 92806 92807 92804 92805 92802 92801 92803 92809 92812 92815 92816 92817 92825 92850 92899,1840019322
Anchorage,Anchorage,AK,Alaska,2020,Anchorage,61.1508,-149.1091,290674,65.8,shape,FALSE,TRUE,America/Anchorage,2,99518 99515 99517 99516 99513 99540 99530 99567 99587 99508 99506 99507 99504 99505 99502 99503 99501 99577 99509 99510 99511 99514 99520 99521 99522 99523 99524 99529 99599,1840023385
Ann Arbor,Ann Arbor,MI,Michigan,26161,Washtenaw,42.2759,-83.731,308983,1671.9,shape,FALSE,TRUE,America/Detroit,2,48103 48104 48105 48108 48109 48113,1840003172
Antioch,Antioch,CA,California,6013,Contra Costa,37.9787,-121.796,327216,1522.3,shape,FALSE,TRUE,America/Los_Angeles,2,94531 94509,1840018903
Appleton,Appleton,WI,Wisconsin,55087,Outagamie,44.278,-88.3892,233947,1145.4,shape,FALSE,TRUE,America/Chicago,2,54914 54915 54913 54911 54912 54919,1840002400
Arlington,Arlington,TX,Texas,48439,Tarrant,32.6998,-97.125,393469,1585.1,shape,FALSE,TRUE,America/Chicago,2,76011 76005 76001 76002 76006 76018 76013 76012 76010 76017 76016 76015 76014 76003 76004 76007 76019 76094 76096,1840019422
Arlington,Arlington,VA,Virginia,51013,Arlington,38.8786,-77.1011,235845,3502.7,shape,FALSE,FALSE,America/New_York,2,22209 22203 22202 22201 22207 22206 22205 22204 22214 22211 22213 22210 22212 22215 22216 22217 22219 22225 22226 22227 22230 22240 22241 22242 22243 22244 22245 22246 22350,1840006112
Asheville,Asheville,NC,North Carolina,37021,Buncombe,35.5707,-82.5537,294013,795.6,shape,FALSE,TRUE,America/New_York,2,28806 28805 28804 28803 28801 28776 28810 28814 28815 28816,1840013411
Atlanta,Atlanta,GA,Georgia,13121,Fulton,33.7628,-84.422,5180179,1412.3,shape,FALSE,TRUE,America/New_York,1,30334 30331 30332 30309 30308 30354 30327 30322 30326 30324 30319 30342 30305 30307 30306 30316 30317 30314 30315 30312 30313 30310 30311 30303 30363 30318 30301 30302 30304 30321 30325 30333 30343 30348 30353 30355 30357 30361 30368 30369 30370 30371 30375 30377 30392 30394 30398 31106 31107 31126 31139 31141 31193 31195 31196,1840013660
Augusta,Augusta,GA,Georgia,13245,Richmond,33.3645,-82.0708,437257,257.5,shape,FALSE,TRUE,America/New_York,2,30912 30815 30812 30907 30906 30904 30905 30901 30909 30805 30903 30914 30916 30917 30919 30999,1840029462
Aurora,Aurora,CO,Colorado,8005,Arapahoe,39.7083,-104.7237,387349,920.3,shape,FALSE,TRUE,America/Denver,2,80247 80137 80045 80018 80019 80016 80014 80015 80012 80013 80010 80017 80011 80040 80041 80042 80044 80046 80047,1840018794
Austin,Austin,TX,Texas,48453,Travis,30.3005,-97.7522,1905945,1154.1,shape,FALSE,TRUE,America/Chicago,1,78749 78748 78741 78742 78745 78744 78747 78746 78717 78712 78719 78617 78739 78735 78736 78730 78731 78732 78733 78705 78704 78701 78703 78702 78758 78759 78752 78753 78750 78751 78756 78757 78754 78652 78723 78722 78721 78727 78726 78725 78724 78729 78728 73301 73344 78651 78708 78709 78710 78711 78713 78714 78715 78718 78720 78755 78760 78761 78762 78763 78765 78766 78767 78768 78772 78773 78774 78778 78779 78783 78799,1840019590
Bakersfield,Bakersfield,CA,California,6029,Kern,35.3529,-119.0359,571992,1038.8,shape,FALSE,TRUE,America/Los_Angeles,2,93306 93307 93304 93305 93301 93309 93314 93311 93313 93312 93302 93383 93384 93385 93387 93389 93390,1840019148
Baltimore,Baltimore,MD,Maryland,24510,Baltimore,39.3051,-76.6144,2196524,2788.2,shape,FALSE,TRUE,America/New_York,1,21218 21211 21210 21213 21212 21215 21214 21217 21216 21233 21231 21230 21239 21251 21209 21202 21206 21207 21205 21287 21223 21226 21201 21224 21225 21229 21203 21263 21264 21270 21273 21275 21278 21279 21281 21290 21297 21298,1840001592
Baton Rouge,Baton Rouge,LA,Louisiana,22033,East Baton Rouge,30.442,-91.1311,635671,1001.4,shape,FALSE,TRUE,America/Chicago,2,70836 70808 70809 70802 70803 70801 70806 70807 70805 70820 70825 70819 70813 70812 70815 70814 70816 70804 70821 70822 70823 70827 70831 70833 70835 70873 70874 70891 70892 70893 70894 70895 70898,1840013941
Birmingham,Birmingham,AL,Alabama,1073,Jefferson,33.5279,-86.7971,782111,526.4,shape,FALSE,TRUE,America/Chicago,2,35218 35214 35215 35217 35210 35211 35212 35213 35224 35221 35222 35203 35207 35206 35205 35204 35209 35208 35094 35254 35068 35061 35228 35234 35235 35233 35243 35242 35249 35201 35202 35220 35232 35237 35238 35246 35255 35259 35261 35270 35282 35283 35285 35287 35290 35291 35292 35294 35295 35298,1840006507
Boise,Boise,ID,Idaho,16001,Ada,43.6005,-116.2308,449776,1072.4,shape,FALSE,TRUE,America/Boise,2,83703 83702 83706 83705 83704 83709 83712 83716 83713 83725 83720 83701 83708 83715 83717 83722 83724 83728 83729 83735 83756 83799,1840027142
Bonita Springs,Bonita Springs,FL,Florida,12071,Lee,26.3558,-81.7859,449527,542.2,shape,FALSE,TRUE,America/New_York,2,33931 34135 34134,1840014227
Boston,Boston,MA,Massachusetts,25025,Suffolk,42.3188,-71.0852,4328315,5319,shape,FALSE,TRUE,America/New_York,1,02120 02121 02122 02124 02125 02126 02127 02128 02129 02210 02215 02467 02119 02118 02111 02110 02113 02115 02114 02116 02199 02134 02136 02135 02133 02132 02131 02130 02203 02205 02163 02108 02109 02112 02117 02123 02137 02196 02201 02206 02211 02212 02217 02222 02241 02283 02284 02293 02297 02298,1840000455
Bremerton,Bremerton,WA,Washington,53035,Kitsap,47.5436,-122.7121,226805,597.3,shape,FALSE,TRUE,America/Los_Angeles,2,98312 98314 98310 98337,1840018410
Bridgeport,Bridgeport,CT,Connecticut,9120,Greater Bridgeport,41.1918,-73.1954,908251,3568.4,shape,FALSE,TRUE,America/New_York,2,06605 06604 06607 06606 06608 06610 06601 06602,1840004836
Bronx,Bronx,NY,New York,36005,Bronx,40.8501,-73.8662,1472654,13356.3,point,FALSE,TRUE,America/New_York,1,10452 10475 10474 10471 10470 10473 10472 10453 10451 10457 10456 10455 10454 10459 10458 11370 10466 10467 10464 10465 10462 10463 10460 10461 10468 10469,1840033999
Brooklyn,Brooklyn,NY,New York,36047,Kings,40.6501,-73.9496,2736074,15200.5,point,FALSE,TRUE,America/New_York,1,11229 11226 11225 11224 11223 11221 11220 11249 11228 11222 11212 11213 11210 11211 11216 11217 11214 11215 11218 11219 11238 11239 11230 11231 11232 11233 11234 11235 11236 11237 11208 11201 11203 11205 11204 11207 11206 11209 11202 11241 11242 11243 11245 11247 11251 11252 11256,1840034030
Brownsville,Brownsville,TX,Texas,48061,Cameron,25.9975,-97.458,215269,548.4,shape,FALSE,TRUE,America/Chicago,2,78521 78520 78526 78575 78578 78566 78522,1840019743
Buffalo,Buffalo,NY,New York,36029,Erie,42.9018,-78.8487,944589,2645.7,shape,FALSE,TRUE,America/New_York,2,14208 14209 14202 14203 14201 14206 14207 14204 14220 14222 14211 14210 14213 14212 14215 14214 14216 14205 14233 14240 14263 14264 14267 14269 14270 14272 14273 14276 14280,1840000386
Canton,Canton,OH,Ohio,39151,Stark,40.8078,-81.3676,294047,1034.3,shape,FALSE,TRUE,America/New_York,2,44714 44710 44702 44703 44706 44707 44704 44705 44708 44709 44711 44750 44799,1840000963
Cape Coral,Cape Coral,FL,Florida,12071,Lee,26.6443,-81.9957,654405,724.2,shape,FALSE,TRUE,America/New_York,2,33990 33993 33914 33991 33909 33904 33910 33915,1840015130
Cedar Rapids,Cedar Rapids,IA,Iowa,19113,Linn,41.9662,-91.6783,191104,724,shape,FALSE,TRUE,America/Chicago,2,52404 52401 52405 52411 52402 52403 52406 52407 52408 52409 52410 52497 52498 52499,1840000471
Chandler,Chandler,AZ,Arizona,4013,Maricopa,33.2825,-111.8514,275618,1624.6,shape,FALSE,TRUE,America/Phoenix,2,85248 85249 85226 85224 85225 85286 85246,1840019309
Charleston,Charleston,SC,South Carolina,45019,Charleston,32.8168,-79.9687,706884,503.3,shape,FALSE,TRUE,America/New_York,2,29414 29424 29425 29455 29405 29407 29401 29403 29409 29492 29412 29402 29413 29417 29422 29457,1840015163
Charlotte,Charlotte,NC,North Carolina,37119,Mecklenburg,35.2083,-80.8303,1427444,1089.8,shape,FALSE,TRUE,America/New_York,1,28269 28262 28105 28280 28282 28209 28208 28205 28204 28207 28206 28203 28202 28223 28227 28226 28278 28270 28273 28274 28277 28134 28216 28217 28214 28215 28212 28213 28210 28211 28244 28126 28130 28201 28218 28219 28220 28221 28222 28224 28228 28229 28230 28231 28232 28233 28234 28235 28237 28241 28242 28243 28246 28247 28253 28254 28255 28256 28258 28260 28263 28265 28266 28271 28272 28275 28281 28284 28285 28287 28288 28289 28290 28296 28297 28299,1840014557
Chattanooga,Chattanooga,TN,Tennessee,47065,Hamilton,35.066,-85.2481,406849,491.7,shape,FALSE,TRUE,America/New_York,2,37415 37416 37410 37411 37419 37409 37421 37408 37403 37402 37407 37405 37406 37404 37343 37450 37351 37401 37414 37424,1840014569
Chesapeake,Chesapeake,VA,Virginia,51550,Chesapeake,36.6778,-76.3023,249377,284.5,shape,FALSE,TRUE,America/New_York,2,23325 23324 23323 23322 23321 23320 23326 23327 23328,1840003874
Chicago,Chicago,IL,Illinois,17031,Cook,41.8375,-87.6866,8497759,4614.5,shape,FALSE,TRUE,America/Chicago,1,60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60631 60827 60661 60660 60638 60639 60634 60636 60637 60630 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60659 60652 60653 60656 60657 60654 60655 60651 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707 60499 60664 60666 60668 60669 60670 60673 60674 60675 60677 60678 60680 60681 60684 60685 60686 60687 60688 60689 60690 60694 60695 60696 60699,1840000494
Chula Vista,Chula Vista,CA,California,6073,San Diego,32.6281,-117.0144,276103,2147.6,shape,FALSE,TRUE,America/Los_Angeles,2,91911 91910 91913 91915 91914 91902 91908 91909 91912 91921,1840019350
Cincinnati,Cincinnati,OH,Ohio,39061,Hamilton,39.1413,-84.506,1692702,1530.6,shape,FALSE,TRUE,America/New_York,1,45267 45219 45213 45212 45211 45217 45216 45214 45224 45225 45223 45220 45237 45229 45226 45227 45230 45204 45205 45206 45207 45202 45203 45208 45209 45239 45238 45233 45232 45201 45221 45250 45254 45262 45263 45264 45268 45269 45270 45271 45273 45274 45275 45296 45298 45299 45999,1840003814
Clarksville,Clarksville,TN,Tennessee,47125,Montgomery,36.5692,-87.3413,210551,650.9,shape,FALSE,TRUE,America/Chicago,2,42223 37043 37042 37040 37041 37044,1840014421
Cleveland,Cleveland,OH,Ohio,39035,Cuyahoga,41.4764,-81.6805,1680247,1839.6,shape,FALSE,TRUE,America/New_York,1,44135 44120 44119 44113 44112 44111 44110 44115 44114 44144 44128 44127 44104 44105 44106 44101 44102 44103 44108 44109 44181 44190 44191 44192 44193 44194 44195 44197 44198 44199,1840000596
College Station,College Station,TX,Texas,48041,Brazos,30.5852,-96.2959,213177,909,shape,FALSE,TRUE,America/Chicago,2,77843 77840 77845 77841 77842 77844 77881,1840019570
Colorado Springs,Colorado Springs,CO,Colorado,8041,El Paso,38.8674,-104.7605,638194,917.5,shape,FALSE,TRUE,America/Denver,2,80951 80829 80909 80904 80905 80906 80907 80903 80939 80938 80910 80917 80916 80915 80914 80919 80918 80927 80924 80925 80922 80923 80920 80921 80929 80901 80932 80934 80935 80936 80937 80941 80942 80946 80947 80949 80950 80960 80962 80977 80995 80997,1840018825
